country,segment,type,name,price,eff,kpl,m_annual,i_annual,t_annual
myanmar,motorbike_commuter,ice,Honda Wave 100,420,,55,45,20,5
myanmar,motorbike_premium,ev,Yadea / NIU import,1400,20,,30,45,2
myanmar,motorbike_premium,ice,Yamaha NMAX 155,2200,,38,80,50,10
taiwan,compact,ev,MG4 / Nissan Leaf,30000,6.5,,190,580,0
taiwan,compact,ice,Toyota Yaris / Honda Fit,23000,,17,440,490,180
taiwan,compact,hybrid,Toyota Corolla Cross HEV,28000,,25,370,540,120
taiwan,midsize,ev,Tesla Model 3,47000,6.0,,240,830,0
taiwan,midsize,ice,Toyota Camry,35000,,14,510,690,250
taiwan,midsize,hybrid,Toyota Camry HEV,38000,,22,410,740,170
taiwan,suv,ev,Tesla Model Y / bZ4X,42500,5.5,,260,880,0
taiwan,suv,ice,Toyota RAV4,32000,,12,490,640,220
taiwan,suv,hybrid,Toyota RAV4 HEV,37000,,19,410,690,150
taiwan,mpv,ev,Denza D9 EV / Maxus MIFA 9,62000,4.2,,300,950,0
taiwan,mpv,ice,Toyota Noah HEV,38000,,18,460,620,180
taiwan,mpv,hybrid,Toyota Voxy HEV,42000,,18,460,660,150
taiwan,motorbike_commuter,ev,Gogoro Jego,650,30,,15,40,0
taiwan,motorbike_commuter,ice,Yamaha Jog / SYM,700,,45,55,35,8
taiwan,motorbike_premium,ev,Gogoro CrossOver / S2,1800,20,,20,60,0
taiwan,motorbike_premium,ice,Yamaha NMAX / Honda PCX,2500,,35,80,60,12
